DATE,Open,High,Low,Close,Volume
2018-02-14,156.1736,160.2454,155.3966,159.9995,52107431.0
2018-02-15,161.4354,162.9697,159.7634,162.9697,51633887.0
2018-02-16,162.4583,164.0073,161.9664,162.2419,62256291.0
2018-02-20,161.6813,163.9336,161.6026,162.5665,36785626.0
2018-02-21,163.3238,164.9564,162.0059,162.1042,41161779.0
2018-02-22,162.8124,163.6779,161.6684,162.0845,37074413.0
2018-02-23,163.3238,165.399,162.7238,165.399,50096916.0
2018-02-26,166.1465,167.5923,166.0383,167.5923,39266658.0
2018-02-27,167.6119,167.9168,165.4384,165.517,42209873.0
2018-02-28,166.4612,167.0022,164.3466,164.4548,42936334.0
2018-03-01,164.5335,165.3007,160.3152,161.7698,76809904.0
2018-03-02,159.911,163.5402,159.2913,163.2549,57445063.0
2018-03-05,162.537,165.4875,161.878,165.0646,38540207.0
2018-03-06,165.8318,166.3235,164.7204,165.7629,29480927.0
2018-03-07,164.504,166.2842,164.209,166.1465,34609407.0
2018-03-08,166.7464,167.1792,166.1662,167.0612,25828371.0
2018-03-09,168.2807,170.3068,168.0054,170.3068,38310546.0
2018-03-12,170.7887,171.605,170.4248,171.2116,37634971.0
2018-03-13,171.9198,172.323,168.4446,168.8807,55638925.0
2018-03-14,169.7364,169.8937,168.1135,168.8512,40536383.0
2018-03-15,168.9987,169.6872,168.084,168.7037,28810366.0
2018-03-16,168.9495,169.3626,168.1185,168.2021,31176742.0
2018-03-19,166.6422,166.7013,163.1739,164.6128,71395061.0
2018-03-20,164.6128,165.5389,164.1301,165.1547,34075664.0
2018-03-21,164.7409,166.2481,163.7164,164.4355,43863543.0
2018-03-22,162.2486,163.3026,160.17,160.3768,66607288.0
2018-03-23,160.1798,160.8694,156.0719,156.1507,80110392.0
2018-03-26,159.2735,162.1501,156.791,161.953,57481503.0
2018-03-27,163.1352,163.1549,155.3331,156.7122,78889105.0
2018-03-28,155.8946,157.4018,153.7175,154.9095,89369655.0
2018-03-29,155.7764,159.3031,154.3024,157.7466,68692566.0
2018-04-02,156.6334,157.3624,151.5896,153.1954,85549443.0
2018-04-03,154.5844,155.5695,152.1413,154.9193,64090049.0
2018-04-04,151.9738,157.8451,151.7472,157.3624,65768692.0
2018-04-05,158.9287,159.175,157.1063,158.2588,43054868.0
2018-04-06,156.5743,158.0718,153.5598,154.2987,59870865.0
2018-04-09,155.6581,158.4854,155.1163,155.3823,41810380.0
2018-04-10,157.7466,159.3228,156.7024,158.8105,48601323.0
2018-04-11,157.8155,159.5888,157.717,157.8944,41622139.0
2018-04-12,158.8992,160.3473,158.7613,159.7956,30467889.0
2018-04-13,160.5837,160.83,158.2785,158.9681,44604892.0
2018-04-16,160.0321,160.761,159.0765,160.1798,28180780.0
2018-04-17,161.7462,163.9816,161.4703,163.6277,35536087.0
2018-04-18,163.6474,164.5143,162.8495,163.9627,29573880.0
2018-04-19,163.1844,163.5194,161.8939,162.4554,34705692.0
2018-04-20,162.0417,162.1599,159.3228,159.8843,49197140.0
2018-04-23,160.6527,161.293,158.6233,159.4804,33040646.0
2018-04-24,160.1995,160.4803,155.0474,156.1014,70256751.0
2018-04-25,156.4364,156.9388,154.1411,156.2886,52089323.0
2018-04-26,158.3278,160.1109,157.7958,159.5789,43005532.0
2018-04-27,161.9038,161.9629,158.7711,159.6774,51043406.0
2018-04-30,160.0616,161.0467,158.1505,158.5445,35615273.0
2018-05-01,158.1308,160.3768,157.7564,160.3571,36513529.0
2018-05-02,160.6724,161.1354,159.2243,159.4114,38646842.0
2018-05-03,158.6824,159.9828,156.8501,159.3917,60337134.0
2018-05-04,158.712,162.7904,158.5839,162.416,41543243.0
2018-05-07,163.1746,164.2976,163.0465,163.7656,32500152.0
2018-05-08,163.3617,163.9528,162.4062,163.5982,26040170.0
2018-05-09,163.9233,165.4994,163.3125,165.3812,29122718.0
2018-05-10,165.923,167.2135,165.7851,167.0953,27067597.0
2018-05-11,166.8294,167.3318,166.2087,166.9377,24688847.0
2018-05-14,167.3119,168.2775,166.9476,167.2234,21821749.0
2018-05-15,165.8935,165.992,164.4946,165.3714,49361638.0
2018-05-16,165.598,166.8491,165.5093,166.4649,22941159.0
2018-05-17,165.8935,167.0855,165.0167,165.8245,27480164.0
2018-05-18,165.2138,165.7556,164.7212,164.9675,26217939.0
2018-05-21,166.2186,166.9771,165.1842,165.8935,22954565.0
2018-05-22,166.6323,166.9279,165.3812,165.6768,19477721.0
2018-05-23,164.4158,167.0953,164.3961,167.0756,26557835.0
2018-05-24,167.0362,167.3219,165.3418,167.0264,27696539.0
2018-05-25,167.0165,167.7948,166.6914,167.1938,27460536.0
2018-05-29,166.3959,167.3909,165.46,166.455,41220468.0
2018-05-30,167.1052,167.9425,166.7013,167.647,22665836.0
2018-05-31,167.5977,168.6518,167.1052,167.5386,35670946.0
2018-06-01,168.3366,170.2674,168.3267,170.1689,45543331.0
2018-06-04,170.5826,171.7451,170.494,171.7057,20459634.0
2018-06-05,172.0899,172.5233,171.4742,172.2376,24779284.0
2018-06-06,172.4197,173.272,171.5481,173.2425,25036647.0
2018-06-07,173.2917,173.3114,170.9668,171.8337,39600316.0
2018-06-08,170.9865,172.2773,170.6023,171.8436,31780348.0
2018-06-11,171.7057,172.7302,171.686,172.3066,22319709.0
2018-06-12,172.543,173.3804,172.3559,173.2129,22511832.0
2018-06-13,173.469,174.5034,172.8189,173.2031,37858584.0
2018-06-14,173.9911,175.2422,173.8729,174.9566,35915978.0
2018-06-15,174.3458,174.6857,173.4887,174.3458,49615730.0
2018-06-18,173.2878,174.3935,172.7054,174.2455,31633192.0
2018-06-19,172.0341,173.7913,171.4911,173.7518,38235994.0
2018-06-20,174.5317,175.7065,174.3935,174.9859,33038042.0
2018-06-21,175.4202,175.6078,173.1299,173.4655,43469439.0
2018-06-22,174.0579,174.1161,172.4586,173.0805,30073187.0
2018-06-25,171.5404,171.7675,167.6409,169.181,77799725.0
