종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
태림포장,7290,90,-1.22%,500,3417491,5162,357,23.44,4.63
대교,6060,10,0.17%,500,22758,5133,256,33.48,2.28
경동나비엔,40150,300,-0.74%,1000,39666,5115,408,20.66,4.55
대한전선,597,9,-1.49%,500,604135,5113,495,-199,-0.47
효성화학,160000,2500,-1.54%,5000,8019,5104,650,14.47,
삼양사,49550,250,0.51%,5000,3591,5099,970,11.74,2.77
삼양홀딩스,59000,900,-1.50%,5000,6897,5053,1385,7.48,3.11
삼성 코스피 양매도 5% OTM ETN,10005,0,0.00%,0,27,5002,,,
화승인더,9000,100,-1.10%,500,93641,4979,577,24.52,2.78
한국단자,47800,700,-1.44%,500,18052,4978,462,12.57,4.56
KODEX 코스피,19585,10,0.05%,0,119509,4955,,,
롯데푸드,432500,5500,1.29%,5000,1173,4895,676,11.51,3.5
하나투어,41950,1200,-2.78%,500,193259,4873,249,55.71,1.58
TIGER TOP10,7925,5,0.06%,0,15,4854,,,
KODEX 인버스,7420,10,0.13%,0,8660974,4719,,,
금호산업,12800,0,0.00%,5000,129391,4613,423,-984.62,-0.04
고려제강,22900,500,-2.14%,1000,8924,4580,380,135.5,0.08
AK홀딩스,34450,700,-1.99%,5000,15535,4564,2697,4.27,6.52
파미셀,7600,270,-3.43%,500,590961,4557,3,-35.51,-20.96
쌍용차,3030,50,-1.62%,5000,112288,4540,-642,-6.76,-2.78
TIGER 단기채권액티브,50620,0,0.00%,0,26,4488,,,
SMART 200TR,8375,5,-0.06%,0,3946,4485,,,
스카이라이프,9370,200,-2.09%,2500,33163,4481,667,8.68,6.47
우리종금,660,7,-1.05%,500,1145705,4450,329,13.47,1.46
KODEX 200선물인버스2X,8420,10,0.12%,0,19869069,4420,,,
한화투자증권,2060,20,-0.96%,5000,111244,4420,972,5.04,1.02
제일약품,30000,0,0.00%,500,11601,4411,74,234.38,0.46
송원산업,18300,200,-1.08%,500,96095,4392,543,11.53,4.35
동성제약,16800,200,-1.18%,1000,364292,4380,-18,-72.41,-4.35
남해화학,8810,170,-1.89%,1000,68139,4377,170,52.44,1.51
LG전자우,25450,0,0.00%,5000,13967,4374,,3.71,
진에어,14500,350,-2.36%,1000,69990,4350,630,9.78,
SK디스커버리,22550,450,-1.96%,5000,16664,4293,1000,5.73,1.98
종근당홀딩스,85000,1900,-2.19%,2500,35515,4258,537,15.51,6.25
한라홀딩스,40500,500,-1.22%,5000,14598,4241,575,33.36,0.73
CJ헬로,5440,90,-1.63%,2500,68170,4213,680,10.62,
한진중공업,5050,50,1.00%,5000,148578,4205,617,-0.06,-36.99
맵스리얼티1,4520,15,-0.33%,0,47228,4196,,,
아이마켓코리아,11650,550,4.95%,500,139605,4187,362,33.97,1.91
한국쉘석유,322000,1000,0.31%,5000,1081,4186,310,16.77,18.12
삼화콘덴서,40050,850,-2.08%,1000,99595,4163,813,6.74,34.62
현대에이치씨엔,3685,60,-1.60%,500,25118,4160,467,10.41,5.27
두산건설,1280,5,-0.39%,500,183283,4156,-522,-0.23,-21.04
한일시멘트,100000,0,0.00%,5000,1326,4145,561,3.87,
신도리코,40700,800,-1.93%,5000,2860,4103,249,11.71,3.71
잇츠한불,18500,100,-0.54%,500,17895,4057,199,49.2,3.38
유니드,44700,250,-0.56%,5000,9824,3974,801,11,3.23
이리츠코크렙,6180,10,-0.16%,500,21714,3915,129,68.67,
남선알미늄,3530,100,-2.75%,500,2636778,3889,94,15.48,
일양약품,20250,300,-1.46%,2500,22204,3865,167,-80.68,0.75
하나제약,23850,300,-1.24%,500,18242,3864,336,12.09,13.65
남양유업,536000,7000,-1.29%,5000,146,3859,86,235.81,0.19
KODEX 선진국MSCI World,14120,70,0.50%,0,3115,3855,,,
한국자산신탁,3385,35,-1.02%,500,30641,3820,1379,3.73,11.57
부산가스,34700,50,0.14%,5000,1521,3817,413,7.75,5.22
한화손해보험,3265,25,-0.76%,5000,107443,3812,1105,4.66,0.52
JW홀딩스,5900,20,-0.34%,500,102095,3807,333,16.43,2.78
일진다이아,33700,300,0.90%,1000,381478,3801,152,51.53,4.85
광동제약,7240,70,0.98%,1000,155587,3795,339,17,3.02
동양,1585,10,-0.63%,500,109572,3783,7,113.21,0.32
미원에스씨,71700,500,-0.69%,500,999,3777,400,10.35,14.48
드림텍,6440,150,-2.28%,100,287402,3749,424,8.75,13.11
한국콜마홀딩스,20800,550,-2.58%,500,116027,3731,948,6.03,11.08
삼진제약,26650,300,-1.11%,1000,33390,3704,595,14.52,10.37
신영증권우,52200,200,0.38%,5000,663,3682,,11.57,
일동제약,16000,200,-1.23%,1000,20259,3627,283,28.52,2.25
JW생명과학,22900,900,-3.78%,2500,72624,3626,235,22.92,7.92
에어부산,6960,140,2.05%,1000,2794538,3624,206,17.19,7.11
율촌화학,14600,100,0.69%,500,219007,3621,178,24.62,
서흥,31200,600,-1.89%,500,12483,3610,393,14.02,4.76
ARIRANG 고배당주,10985,35,-0.32%,0,42692,3599,,,
서울가스,71600,1000,-1.38%,5000,55,3580,43,8.65,2.87
농심홀딩스,76200,100,0.13%,5000,781,3534,411,7.56,4
신한알파리츠,7390,10,0.14%,1000,65202,3520,120,66.58,
퍼시스,30550,450,-1.45%,1000,356,3513,277,7.72,9.88
한솔제지,14600,200,-1.35%,5000,54393,3475,1114,9.12,2.15
한진,28950,50,0.17%,5000,51351,3467,421,7.58,1.78
코리아오토글라스,17300,350,-1.98%,5000,29029,3460,498,7.98,7.97
엔에스쇼핑,10250,150,-1.44%,500,5854,3454,612,9.99,4.37
풀무원,9060,30,-0.33%,500,39295,3451,402,15.95,1.09
효성중공업,36950,650,-1.73%,5000,25230,3445,500,104.97,
교보증권,9570,110,-1.14%,5000,64234,3445,933,4.46,1.09
조선내화,85900,300,-0.35%,5000,1334,3436,394,6.52,5.71
도화엔지니어링,10150,250,-2.40%,500,163858,3423,173,24.82,3.92
삼천리,83800,200,-0.24%,5000,1807,3398,823,10.6,0.72
TIGER 코스닥150,8905,70,-0.78%,0,281474,3364,,,
E1,49000,100,-0.20%,5000,3311,3361,140,4.3,2.26
에이프로젠 KIC,2225,0,0.00%,500,1963280,3360,16,-3.52,-9.7
아세아시멘트,85500,2900,-3.28%,5000,7212,3331,792,21.37,1.21
유양디앤유,5720,230,-3.87%,500,486953,3328,-184,-10.63,-15.13
경인양행,8220,90,1.11%,500,2242574,3321,197,25.14,3.58
두산우,74900,200,0.27%,5000,1582,3304,,-15.67,
필룩스,4315,5,-0.12%,500,1680271,3260,10,-20.65,-4.45
한미반도체,5670,170,-2.91%,200,157179,3245,568,7.04,18.56
케이씨텍,16300,100,0.62%,500,97890,3234,670,5.95,18.75
세아홀딩스,80800,500,-0.62%,5000,107,3232,1175,9.86,1.21
신성통상,2230,150,7.21%,500,32846675,3205,194,42.88,1.17
한국카본,7230,80,1.12%,500,241848,3178,62,-106.32,-0.82
유나이티드제약,19550,150,-0.76%,500,8365,3169,378,10.01,11.16
